feature,score,p_value
tower_diff,185689.97386641713,0.0
inhibitor_diff,80142.6823352561,0.0
red_gets_firstInhibitor,58748.79042697499,0.0
blue_gets_firstInhibitor,56861.345214313515,0.0
dragon_diff,23839.373462216598,0.0
baron_diff,17049.73491727937,0.0
red_gets_firstBaron,11268.225622681382,0.0
red_gets_firstTower,10244.474978855327,0.0
blue_gets_firstTower,10148.225150426846,0.0
blue_gets_firstBaron,9064.862480341037,0.0
red_gets_firstDragon,7151.247769841411,0.0
blue_gets_firstDragon,6941.716566692681,0.0
blue_gets_first_blood_and_tower,5958.564782405451,0.0
red_gets_first_blood_and_tower,5741.377357065228,0.0
red_gets_firstBlood,1737.4601399991282,0.0
blue_gets_firstBlood,1709.5014833495181,0.0
game_duration_min,30.138496726050455,4.0416022515285336e-08
is_short_game,15.141465887627989,9.987361243053261e-05
is_long_game,9.56321955913221,0.0019862073831191525
hour_of_day,1.382403111004354,0.23969767040926104
is_weekend,0.20195194929632135,0.6531517722343902
day_of_week,0.03655583821921684,0.8483729391463768
